GeneId,Alias,WT,WTMinus,PYE,PPL,V-EN,C-EN-V,EP-C,EP
AT1G11120,unknown,1.743178137,2.670421848,3.093944168,3.619475251,4.217127186,3.325553969,4.304252244,2.95850891
AT1G11185,unknown,22.37468902,25.87714706,19.45555404,23.30202996,32.4217575,16.66403717,10.34807202,13.65388918
AT1G11280,unknown,7.502139376,7.161356513,10.68238688,8.269088556,10.11299781,10.57430782,11.29966439,11.6972524
AT1G11730,unknown,0.638623403,1.16565491,0.717618672,0.801554287,0.691876038,0.749115896,0.425491376,0.453359843
AT1G13150,CYP86C4,1.202553557,1.096960356,0.43076976,0.641082526,0.775297214,0.588478286,0.503844607,0.719941715
AT1G13635,unknown,8.03427049,5.759326502,6.508073082,4.858898665,6.282763606,7.825615619,9.5983044,4.566513665
AT1G13800,FAC19,0.508921933,0.599901878,0.985745405,0.812987873,0.668556398,0.996464802,1.166437057,0.828803493
AT1G13810,unknown,4.784692489,6.255208619,8.914756796,6.481705275,6.308816106,8.366472779,9.623469791,8.930202165
AT1G13970,unknown,10.99507896,8.397170019,11.3226185,8.375741911,9.800780488,12.00825263,14.05242197,11.25613547
AT1G14390,unknown,3.40899188,4.559782247,2.860478536,5.226695099,3.609904974,3.427085483,2.989067564,3.662498789
AT1G15000,scpl50,8.608646497,6.894586636,6.709859941,8.212390196,4.93979839,6.40891141,4.44949502,5.134482686
AT1G15080,"ATLPP2, ATPAP2, LPP2",2.583437892,2.118148954,1.812470746,1.882651935,1.64583436,1.632643923,1.34531974,1.290597714
AT1G15885,unknown,3.966518423,2.271852655,1.281951691,2.585698483,1.227090628,1.354273774,0.613461605,1.210129415
AT1G15910,"FDM1, IDNL1, IDP1",11.3535048,12.97976067,9.289787364,13.13166567,10.19121101,8.669689873,7.70477394,8.874504144
AT1G16510,unknown,0.815372816,1.159536805,1.912106301,1.080156901,1.312641332,1.738489862,2.579069761,2.052926222
AT1G16900,EBS3,9.286446207,11.63803791,17.10107768,13.09063612,13.26622932,16.93648384,18.64709152,15.43554001
AT1G17060,"CHI2, CYP72C1, SHK1, SOB7",14.7513243,11.2727384,14.48981663,13.63149556,11.67335316,11.86629193,16.98339602,15.00333274
AT1G17860,unknown,653.1873045,498.6558246,366.2869925,448.6599478,341.9384089,383.2464768,267.4314125,299.3129857
